business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
85953,WesBurger N' More,2240 Mission St,San Francisco,CA,94110,,,,14155371648,85953_20180828,08/28/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
93223,The Danish & Donut Corner,145 Columbus Ave,San Francisco,CA,94133,,,,,93223_20171025,10/25/2017 12:00:00 AM,,New Ownership,,,,,,,,,
69290,Kettle Corn Star,865 Market St,San Francisco,CA,94103,,,,,69290_20190326,03/26/2019 12:00:00 AM,,Structural Inspection,,,,,,,,,
91067,Soma Sushi,764 Harrison St,San Francisco,CA,94107,,,,,91067_20170327,03/27/2017 12:00:00 AM,,New Ownership,,,,,,,,,
81861,Subway Sandwiches #33847,795 A Folsom St,San Francisco,CA,94107,,,,,81861_20190912,09/12/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
86647,Da Cafe,407 Clement St,San Francisco,CA,94118,,,,,86647_20190408,04/08/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
89909,The Grilled Cheeezguy LLC,529 Stevenson St,San Francisco,CA,94103,,,,,89909_20170925,09/25/2017 12:00:00 AM,,New Ownership,,,,,,,,,
90622,Taqueria Lolita,750 Phelps St,San Francisco,CA,94124,,,,14155313766,90622_20180821,08/21/2018 12:00:00 AM,,Routine - Unscheduled,90622_20180821_103148,No thermometers or uncalibrated thermometers,Low Risk,,,,,,
78196,Javalenica Cafe,920 Valencia St,San Francisco,CA,94110,,,,14155822321,78196_20181003,10/03/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
82225,Harry Harringtons Pub,460 Larkin St,San Francisco,CA,94102,,,,,82225_20190319,03/19/2019 12:00:00 AM,,Routine - Unscheduled,82225_20190319_103150,Improper or defective plumbing,Low Risk,,,,,,
93193,Ballast Coffee,329 West Portal Ave,San Francisco,CA,94127,,,,,93193_20181101,11/01/2018 12:00:00 AM,,Routine - Unscheduled,,,,,,,,,
98379,ZHUO KITCHEN,1380 9TH AVE,San Francisco,CA,94122,,,,14155929142,98379_20190927,09/27/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
88983,Fueling Station,2436 Polk St,San Francisco,CA,94109,,,,,88983_20180501,05/01/2018 12:00:00 AM,,Routine - Unscheduled,,,,,,,,,
90010,Noeteca,1551 Dolores St,San Francisco,CA,94110,,,,14155825524,90010_20190729,07/29/2019 12:00:00 AM,,Routine - Unscheduled,,,,,,,,,
91241,El Capitan,1196 Folsom St,San Francisco,CA,94103,,,,,91241_20181228,12/28/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
102151,GLOBAL CUISINE,846 GEARY ST,San Francisco,CA,94109,,,,14150925387,102151_20190906,09/06/2019 12:00:00 AM,,New Ownership,,,,,,,,,
83423,Carbon Grill,852 Clement St,San Francisco,CA,94118,,,,14155759966,83423_20170328,03/28/2017 12:00:00 AM,,Routine - Unscheduled,83423_20170328_103139,Improper food storage,Low Risk,,,,,,
95434,La Fromagerie,100 01st St STE 165,San Francisco,CA,94103,,,,,95434_20180419,04/19/2018 12:00:00 AM,,New Construction,,,,,,,,,
97468,SAKE BOMB,2878 24th St,San Francisco,CA,94110,,,,,97468_20180926,09/26/2018 12:00:00 AM,,New Construction,,,,,,,,,
99783,CAFECITO,406 ELLIS St,San Francisco,CA,94102,,,,,99783_20190319,03/19/2019 12:00:00 AM,,New Ownership,,,,,,,,,
84533,Pedrito's,3254 23rd St,San Francisco,CA,94110,,,,14155641815,84533_20180719,07/19/2018 12:00:00 AM,,Routine - Unscheduled,84533_20180719_103143,Inadequate warewashing facilities or equipment,Low Risk,,,,,,
96566,SANPPO RESTAURANT,1702 POST ST,San Francisco,CA,94115,,,,14155343486,96566_20181206,12/06/2018 12:00:00 AM,,New Ownership,96566_20181206_103103,High risk food holding temperature,High Risk,,,,,,
90939,Jiangnan Cuisine,3420 Balboa St,San Francisco,CA,94121,,,,14158439992,90939_20190819,08/19/2019 12:00:00 AM,,Routine - Unscheduled,90939_20190819_103108,Contaminated or adulterated food,High Risk,,,,,,
77731,Souvla,517 Hayes St,San Francisco,CA,94102,,,,,77731_20190612,06/12/2019 12:00:00 AM,,New Construction,,,,,,,,,
87425,Meraki,927 Post St,San Francisco,CA,94109,,,,,87425_20181022,10/22/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
90427,McDonald's,1100 Fillmore St.,San Francisco,CA,94115,,,,,90427_20180725,07/25/2018 12:00:00 AM,,Complaint,,,,,,,,,
99948,SUSIECAKES BAKERY,3509 CALIFORNIA ST,San Francisco,CA,94118,,,,14150452253,99948_20190610,06/10/2019 12:00:00 AM,,New Construction,,,,,,,,,
98606,Macy's Starbucks Nitro Bike,170 O'Farrell St,San Francisco,CA,94102,,,,,98606_20181207,12/07/2018 12:00:00 AM,,New Ownership,,,,,,,,,
90273,Trader Joe's #225,10 4th St.,San Francisco,CA,94103,,,,,90273_20170309,03/09/2017 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
95177,Dancing Yak Inc,280 Valencia St,San Francisco,CA,94110,,,,,95177_20180321,03/21/2018 12:00:00 AM,,New Ownership,,,,,,,,,
86381,The Saratoga,1000 Larkin St,San Francisco,CA,94109,,,,,86381_20190822,08/22/2019 12:00:00 AM,,Routine - Unscheduled,,,,,,,,,
74374,Gallardo's Mexican Restaurant,3248 18th St,San Francisco,CA,94110,,,,,74374_20180411,04/11/2018 12:00:00 AM,,Routine - Unscheduled,74374_20180411_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,,
88475,E & O Kitchen and Bar,314 Sutter St,San Francisco,CA,94108,,,,14155690303,88475_20180321,03/21/2018 12:00:00 AM,,Complaint,,,,,,,,,
92983,La Loma Produce #8,2840 Mission St.,San Francisco,CA,94110,,,,,92983_20190211,02/11/2019 12:00:00 AM,,Routine - Unscheduled,92983_20190211_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,,
